"Auction";"From";"To";"Car";"Motorcycle"
"Adesa";"ADESA COLUMBUS FAIR AUTO AUCTION - Ohio - Adesa";"Chicago";$400.00;$275.00
;"ADESA Indianapolis - Indiana - Adesa";"Chicago";$200.00;$200.00
;"ADESA PA - Pennsylvania - Adesa";"New York";$300.00;$250.00
;"Atlanta - Georgia - Adesa";"Savannah";$225.00;$175.00
;"Austin - Texas - Adesa";"Houston";$225.00;
;"Birmingham - Alabama - Adesa";"Savannah";$350.00;$275.00
;"Boston - Massachusetts - Adesa";"New York";$350.00;$275.00
;"Brasher's Sacramento Auto Auction - California - Adesa";"Los Angeles";$375.00;$250.00
;"Buffalo - New Jersey - Adesa";"New York";$450.00;$350.00
;"Charlotte - North Carolina - Adesa";"Norfolk";$275.00;$225.00
;"Cincinnati / Dayton - Ohio - Adesa";"Chicago";$400.00;$275.00
;"Cleveland - Ohio - Adesa";"Chicago";$400.00;$275.00
;"Colorado Springs - Colorado - Adesa";"Houston";$625.00;
;"Concord - Massachusetts - Adesa";"New York";$350.00;$275.00
;"Dallas - Texas - Adesa";"Houston";$225.00;
;"Des Moines - Iowa - Adesa";"Chicago";$300.00;$225.00
;"East Tennessee - Tennessee - Adesa";"Savannah";$450.00;
;"Fargo - North Dakota - Adesa";"Chicago";$550.00;$500.00
;"Golden Gate - California - Adesa";"Los Angeles";$375.00;$250.00
;"Great Lakes - Michigan - Adesa";"Chicago";$450.00;$400.00
;"Houston - Texas - Adesa";"Houston";$180.00;
;"Indianapolis - Indiana - Adesa";"Chicago";$200.00;$200.00
;"Jacksonville - Florida - Adesa";"Savannah";$175.00;$150.00
;"Kansas City - Missouri - Adesa";"Chicago";$350.00;$275.00
;"Knoxville - Tennessee - Adesa";"Savannah";$350.00;
;"Lansing - Michigan - Adesa";"Chicago";$325.00;$250.00
;"Las Vegas - Nevada - Adesa";"Los Angeles";$300.00;$250.00
;"Lexington - Kentucky - Adesa";"Chicago";$375.00;
;"Little Rock - Arkansas - Adesa";"Houston";$400.00;
;"Long Island - New York - Adesa";"New York";$225.00;$175.00
;"Los Angeles - California - Adesa";"Los Angeles";$150.00;$100.00
;"Manheim San Francisco Bay - California - Adesa";"Los Angeles";$375.00;$250.00
;"Manheim Southern California - California - Adesa";"Los Angeles";$150.00;$150.00
